#N =          J1         KA         KC         J2          E
    1          1          0          1          0     23.799
    2          1          1          0          0     42.402
    3          2          1          2          0     79.513
    4          2          2          1          0    135.322
    5          3          0          3          0    136.890
    6          3          1          2          0    173.598
    7          3          2          1          0    212.628
    8          4          1          4          0    224.994
    9          3          3          0          0    287.537
   10          4          2          3          0    300.920
   11          5          0          5          0    325.789
   12          4          3          2          0    384.585
   13          1          0          1          2    388.917
   14          5          1          4          0    400.670
   15          1          1          0          2    407.520
   16          2          1          2          2    444.631
   17          6          1          6          0    447.897
   18          5          2          3          0    448.098
   19          4          4          1          0    494.688
   20          2          2          1          2    500.440
   21          3          0          3          2    502.008
   22          5          3          2          0    511.234
   23          3          1          2          2    538.716
   24          6          2          5          0    554.439
   25          3          2          1          2    577.746
   26          7          0          7          0    587.370
   27          4          1          4          2    590.112
   28          5          4          1          0    616.707
   29          6          3          4          0    651.971
   30          3          3          0          2    652.655
   31          4          2          3          2    666.038
   32          5          0          5          2    690.907
   33          7          1          6          0    707.162
   34          8          1          8          0    745.852
   35          4          3          2          2    749.703
   36          5          5          0          0    757.735
   37          6          4          3          0    763.327
   38          5          1          4          2    765.788
   39          7          2          5          0    787.387
   40          6          1          6          2    813.015
   41          5          2          3          2    813.216
   42          7          3          4          0    847.989
   43          4          4          1          2    859.806
   44          5          3          2          2    876.352
   45          8          2          7          0    889.239
   46          6          5          2          0    903.768
   47          6          2          5          2    919.557
   48          9          0          9          0    922.702
   49          7          4          3          0    938.944
   50          7          0          7          2    952.488
   51          5          4          1          2    981.825
   52          8          3          6          0   1012.269
   53          6          3          4          2   1017.089
   54          7          1          6          2   1072.280
   55          7          5          2          0   1075.111
   56          6          6          1          0   1076.531
   57          9          1          8          0   1084.551
   58          8          1          8          2   1110.970
   59         10          1         10          0   1118.168
   60          5          5          0          2   1122.853
   61          6          4          3          2   1128.445
   62          8          4          5          0   1132.111
   63          7          2          5          2   1152.505
   64          9          2          7          0   1212.266
   65          7          3          4          2   1213.107
   66          1          0          1          4   1240.859
   67          7          6          1          0   1246.771
   68          8          2          7          2   1254.357
   69          1          1          0          4   1259.462
   70          6          5          2          2   1268.886
   71          8          5          4          0   1271.474
   72          9          0          9          2   1287.820
   73          2          1          2          4   1296.573
   74          9          3          6          0   1296.584
   75         10          2          9          0   1300.675
   76          7          4          3          2   1304.062
   77         11          0         11          0   1332.162
   78          2          2          1          4   1352.382
   79          3          0          3          4   1353.950
   80          9          4          5          0   1374.699
   81          8          3          6          2   1377.387
   82          3          1          2          4   1390.658
   83          3          2          1          4   1429.688
   84          7          5          2          2   1440.229
   85          6          6          1          2   1441.649
   86          4          1          4          4   1442.054
   87          8          6          3          0   1442.066
   88          9          1          8          2   1449.669
   89          7          7          0          0   1451.092
   90         10          3          8          0   1458.068
   91         10          1         10          2   1483.286
   92          9          5          4          0   1496.108
   93          8          4          5          2   1497.229
   94          3          3          0          4   1504.597
   95          4          2          3          4   1517.980
   96         11          1         10          0   1534.297
   97          5          0          5          4   1542.849
   98         12          1         12          0   1564.718
   99          9          2          7          2   1577.384
  100         10          4          7          0   1597.945
  101          4          3          2          4   1601.645
  102          7          6          1          2   1611.889
  103          5          1          4          4   1617.730
  104          8          5          4          2   1636.592
  105          8          7          2          0   1645.532
  106          9          3          6          2   1661.702
  107          9          6          3          0   1662.856
  108          6          1          6          4   1664.957
  109          5          2          3          4   1665.158
  110         10          2          9          2   1665.793
  111         11          0         11          2   1697.280
  112         11          2          9          0   1707.663
  113          4          4          1          4   1711.748
  114          5          3          2          4   1728.294
  115          9          4          5          2   1739.817
  116         10          5          6          0   1741.216
  117          6          2          5          4   1771.499
  118         12          2         11          0   1786.844
  119          7          0          7          4   1804.430
  120          8          6          3          2   1807.184
  121         13          0         13          0   1815.823
  122          7          7          0          2   1816.210
  123         10          3          8          2   1823.186
  124          5          4          1          4   1833.767
  125         11          3          8          0   1839.060
  126          9          5          4          2   1861.226
  127          9          7          2          0   1864.978
  128          6          3          4          4   1869.031
  129          8          8          1          0   1881.415
  130         11          1         10          2   1899.415
  131         10          6          5          0   1909.013
  132          7          1          6          4   1924.222
  133         11          4          7          0   1928.836
  134         12          1         12          2   1929.836
  135          8          1          8          4   1962.912
  136         10          4          7          2   1963.063
  137          5          5          0          4   1974.795
  138          6          4          3          4   1980.387
  139         12          3         10          0   1982.828
  140          7          2          5          4   2004.447
  141          8          7          2          2   2010.650
  142          9          6          3          2   2027.974
  143         11          5          6          0   2029.722
  144         13          1         12          0   2057.757
  145          7          3          4          4   2065.049
  146         11          2          9          2   2072.781
  147         14          1         14          0   2085.484
  148          9          8          1          0   2100.067
  149          8          2          7          4   2106.299
  150         10          5          6          2   2106.334
  151         10          7          4          0   2109.671
  152          6          5          2          4   2120.828
  153          9          0          9          4   2139.762
  154         12          2         11          2   2151.962
  155         12          4          9          0   2153.661
  156          7          4          3          4   2156.004
  157         13          0         13          2   2180.941
  158         11          6          5          0   2182.843
  159         11          3          8          2   2204.178
  160          8          3          6          4   2229.329
  161          9          7          2          2   2230.096
  162          8          8          1          2   2246.533
  163         13          2         11          0   2272.979
  164         10          6          5          2   2274.131
  165          7          5          2          4   2292.171
  166          6          6          1          4   2293.591
  167         11          4          7          2   2293.954
  168          9          1          8          4   2301.611
  169         12          5          8          0   2311.364
  170         10          1         10          4   2335.228
  171         10          8          3          0   2343.672
  172         14          2         13          0   2347.269
  173         12          3         10          2   2347.946
  174          8          4          5          4   2349.171
  175          9          9          0          0   2367.500
  176         15          0         15          0   2373.699
  177         11          7          4          0   2379.993
  178         11          5          6          2   2394.840
  179         13          1         12          2   2422.875
  180          9          2          7          4   2429.326
  181         14          1         14          2   2450.602
  182         13          3         10          0   2454.662
  183          7          6          1          4   2463.831
  184          9          8          1          2   2465.185
  185         10          7          4          2   2474.789
  186         12          6          7          0   2479.327
  187          8          5          4          4   2488.534
  188          9          3          6          4   2513.644
  189         10          2          9          4   2517.735
  190         12          4          9          2   2518.779
  191         11          6          5          2   2547.961
  192         11          0         11          4   2549.222
  193          1          0          1          6   2579.625
  194         14          3         12          0   2583.056
  195         13          4          9          0   2586.529
  196          9          4          5          4   2591.759
  197          1          1          0          6   2598.228
  198         10          9          2          0   2610.369
  199         11          8          3          0   2612.449
  200          2          1          2          6   2635.339
  201         13          2         11          2   2638.097
  202         15          1         14          0   2655.298
  203          8          6          3          4   2659.126
  204          7          7          0          4   2668.152
  205         10          3          8          4   2675.128
  206         12          7          6          0   2675.954
  207         12          5          8          2   2676.482
  208         16          1         16          0   2680.468
  209         13          5          8          0   2685.455
  210          2          2          1          6   2691.148
  211          3          0          3          6   2692.716
  212         10          8          3          2   2708.790
  213         14          2         13          2   2712.387
  214          9          5          4          4   2713.168
  215          3          1          2          6   2729.424
  216          9          9          0          2   2732.618
  217         15          0         15          2   2738.817
  218         11          7          4          2   2745.111
  219         11          1         10          4   2751.357
  220          3          2          1          6   2768.454
  221          4          1          4          6   2780.820
  222         12          1         12          4   2781.778
  223         14          4         11          0   2791.383
  224         13          6          7          0   2814.127
  225         10          4          7          4   2815.005
  226         13          3         10          2   2819.780
  227          3          3          0          6   2843.363
  228         12          6          7          2   2844.445
  229          4          2          3          6   2856.746
  230          8          7          2          4   2862.592
  231         11          9          2          0   2878.155
  232          9          6          3          4   2879.916
  233          5          0          5          6   2881.615
  234         12          8          5          0   2906.629
  235         10         10          1          0   2909.347
  236         15          2         13          0   2910.957
  237         11          2          9          4   2924.723
  238          4          3          2          6   2940.411
  239         14          3         12          2   2948.174
  240         13          4          9          2   2951.647
  241          5          1          4          6   2956.496
  242         10          5          6          4   2958.276
  243         10          9          2          2   2975.487
  244         14          5         10          0   2975.705
  245         11          8          3          2   2977.567
  246         16          2         15          0   2981.880
  247         13          7          6          0   2999.162
  248          6          1          6          6   3003.723
  249         12          2         11          4   3003.904
  250          5          2          3          6   3003.924
  251         17          0         17          0   3005.792
  252         15          1         14          2   3020.416
  253         13          0         13          4   3032.883
  254         12          7          6          2   3041.072
  255         16          1         16          2   3045.586
  256          4          4          1          6   3050.514
  257         13          5          8          2   3050.573
  258         11          3          8          4   3056.120
  259          5          3          2          6   3067.060
  260          9          7          2          4   3082.038
  261          8          8          1          4   3098.475
  262          6          2          5          6   3110.265
  263         10          6          5          4   3126.073
  264         15          3         12          0   3137.363
  265          7          0          7          6   3143.196
  266         11          4          7          4   3145.896
  267         14          6          9          0   3152.657
  268         14          4         11          2   3156.501
  269         12          9          4          0   3171.042
  270          5          4          1          6   3172.533
  271         11         10          1          0   3176.436
  272         13          6          7          2   3179.245
  273         12          3         10          4   3199.888
  274          6          3          4          6   3207.797
  275         13          8          5          0   3226.550
  276         11          9          2          2   3243.273
  277         11          5          6          4   3246.782
  278         16          3         14          0   3257.613
  279          7          1          6          6   3262.988
  280         12          8          5          2   3271.747
  281         10         10          1          2   3274.465
  282         13          1         12          4   3274.817
  283         15          2         13          2   3276.075
  284          8          1          8          6   3301.678
  285         14          1         14          4   3302.544
  286          5          5          0          6   3313.561
  287          9          8          1          4   3317.127
  288          6          4          3          6   3319.153
  289         15          4         11          0   3323.540
  290         10          7          4          4   3326.731
  291         17          1         16          0   3327.005
  292         14          5         10          2   3340.823
  293          7          2          5          6   3343.213
  294         14          7          8          0   3346.538
  295         16          2         15          2   3346.998
  296         18          1         18          0   3349.671
  297         13          7          6          2   3364.280
  298         12          4          9          4   3370.721
  299         17          0         17          2   3370.910
  300         11          6          5          4   3399.903
  301          7          3          4          6   3403.815
  302          8          2          7          6   3445.065
  303         15          5         10          0   3454.723
  304          6          5          2          6   3459.594
  305         12         10          3          0   3468.413
  306          9          0          9          6   3478.528
  307         13          9          4          0   3489.241
  308         13          2         11          4   3490.039
  309          7          4          3          6   3494.770
  310         15          3         12          2   3502.481
  311         16          4         13          0   3505.847
  312         11         11          0          0   3506.955
  313         14          6          9          2   3517.775
  314         12          5          8          4   3528.424
  315         12          9          4          2   3536.160
  316         11         10          1          2   3541.554
  317         10          8          3          4   3560.732
  318         14          2         13          4   3564.329
  319          8          3          6          6   3568.095
  320         15          6          9          0   3568.225
  321         14          8          7          0   3572.311
  322          9          9          0          4   3584.560
  323         15          0         15          4   3590.759
  324         13          8          5          2   3591.668
  325         11          7          4          4   3597.053
  326         17          2         15          0   3622.668
  327         16          3         14          2   3622.731
  328          7          5          2          6   3630.937
  329          6          6          1          6   3632.357
  330          9          1          8          6   3640.377
  331         13          3         10          4   3671.722
  332         10          1         10          6   3673.994
  333          8          4          5          6   3687.937
  334         15          4         11          2   3688.658
  335         18          2         17          0   3690.680
  336         17          1         16          2   3692.123
  337         12          6          7          4   3696.387
  338         14          7          8          2   3711.656
  339         19          0         19          0   3712.105
  340         18          1         18          2   3714.789
  341         16          5         12          0   3725.720
  342         15          7          8          0   3728.419
  343          9          2          7          6   3768.092
  344         13         10          3          0   3785.442
  345         12         11          2          0   3798.267
  346         14          3         12          4   3800.116
  347          7          6          1          6   3802.597
  348         13          4          9          4   3803.589
  349         15          5         10          2   3819.841
  350          8          5          4          6   3827.300
  351         10          9          2          4   3827.429
  352         11          8          3          4   3829.509
  353         14          9          6          0   3832.973
  354         12         10          3          2   3833.531
  355          9          3          6          6   3852.410
  356         13          9          4          2   3854.359
  357         10          2          9          6   3856.501
  358         16          4         13          2   3870.965
  359         11         11          0          2   3872.073
  360         15          1         14          4   3872.358
  361         11          0         11          6   3887.988
  362         17          3         14          0   3890.730
  363         12          7          6          4   3893.014
  364         16          1         16          4   3897.528
  365         13          5          8          4   3902.515
  366         16          6         11          0   3924.190
  367          9          4          5          6   3930.525
  368         15          6          9          2   3933.343
  369         14          8          7          2   3937.429
  370         15          8          7          0   3945.042
  371         17          2         15          2   3987.786
  372          8          6          3          6   3997.892
  373         18          3         16          0   4006.282
  374          7          7          0          6   4006.918
  375         14          4         11          4   4008.443
  376         10          3          8          6   4013.894
  377         13          6          7          4   4031.187
  378          9          5          4          6   4051.934
  379         18          2         17          2   4055.798
  380         19          1         18          0   4072.905
  381         19          0         19          2   4077.223
  382         11          1         10          6   4090.123
  383         16          5         12          2   4090.838
  384         20          1         20          0   4093.093
  385         15          7          8          2   4093.537
  386         11          9          2          4   4095.215
  387         13         11          2          0   4114.445
  388         12          1         12          6   4120.544
  389         16          7         10          0   4122.075
  390         12          8          5          4   4123.689
  391         17          4         13          0   4125.988
  392         10         10          1          4   4126.407
  393         14         10          5          0   4127.701
  394         15          2         13          4   4128.017
  395         13         10          3          2   4150.560
  396         10          4          7          6   4153.771
  397         12         12          1          0   4160.325
  398         12         11          2          2   4163.385
  399         14          5         10          4   4192.765
  400         14          9          6          2   4198.091
  401         16          2         15          4   4198.940
  402          8          7          2          6   4201.358
  403         15          9          6          0   4202.540
  404         13          7          6          4   4216.222
  405          9          6          3          6   4218.682
  406         17          0         17          4   4222.852
  407         17          3         14          2   4255.848
  408         11          2          9          6   4263.489
  409         16          6         11          2   4289.308
  410         18          4         15          0   4294.866
  411         10          5          6          6   4297.042
  412         15          8          7          2   4310.160
  413         17          5         12          0   4312.591
  414         12          2         11          6   4342.670
  415         16          8          9          0   4342.947
  416         15          3         12          4   4354.423
  417         14          6          9          4   4369.717
  418         18          3         16          2   4371.400
  419         13          0         13          6   4371.649
  420         12          9          4          4   4388.102
  421         11         10          1          4   4393.496
  422         11          3          8          6   4394.886
  423          1          0          1          8   4405.215
  424         19          2         17          0   4408.405
  425          9          7          2          6   4420.804
  426          1          1          0          8   4423.818
  427          8          8          1          6   4437.241
  428         19          1         18          2   4438.023
  429         13          8          5          4   4443.610
  430         17          6         11          0   4444.573
  431         14         11          4          0   4455.633
  432         20          1         20          2   4458.211
  433          2          1          2          8   4460.929
  434         10          6          5          6   4464.839
  435         20          2         19          0   4473.680
  436         16          3         14          4   4474.673
  437         13         12          1          0   4475.862
  438         13         11          2          2   4479.563
  439         11          4          7          6   4484.662
  440         16          7         10          2   4487.193
  441         17          4         13          2   4491.106
  442         21          0         21          0   4492.637
  443         14         10          5          2   4492.819
  444         15         10          5          0   4495.390
  445          2          2          1          8   4516.738
  446          3          0          3          8   4518.306
  447         12         12          1          2   4525.443
  448         12          3         10          6   4538.654
  449         15          4         11          4   4540.600
  450         17          1         16          4   4544.065
  451         18          5         14          0   4554.435
  452          3          1          2          8   4555.014
  453         14          7          8          4   4563.598
  454         18          1         18          4   4566.731
  455         15          9          6          2   4567.658
  456         17          7         10          0   4579.010
  457         11          5          6          6   4585.548
  458          3          2          1          8   4594.044
  459         16          9          8          0   4598.098
  460          4          1          4          8   4606.410
  461         13          1         12          6   4613.583
  462         14          1         14          6   4641.310
  463          9          8          1          6   4655.893
  464         18          4         15          2   4659.984
  465         10          7          4          6   4665.497
  466          3          3          0          8   4668.953
  467         15          5         10          4   4671.783
  468         17          5         12          2   4677.709
  469          4          2          3          8   4682.336
  470         12         10          3          4   4685.473
  471         13          9          4          4   4706.301
  472          5          0          5          8   4707.205
  473         16          8          9          2   4708.065
  474         12          4          9          6   4709.487
  475         19          3         16          0   4717.074
  476         16          4         13          4   4722.907
  477         11         11          0          4   4724.015
  478         11          6          5          6   4738.669
  479          4          3          2          8   4766.001
  480         17          8          9          0   4772.707
  481         19          2         17          2   4773.523
  482          5          1          4          8   4782.086
  483         15          6          9          4   4785.285
  484         18          6         13          0   4785.496
  485         14          8          7          4   4789.371
  486         17          6         11          2   4809.691
  487         14         12          3          0   4816.245
  488         14         11          4          2   4820.751
  489         15         11          4          0   4821.990
  490         13          2         11          6   4828.805
  491         20          3         18          0   4829.065
  492          6          1          6          8   4829.313
  493          5          2          3          8   4829.514
  494         20          2         19          2   4838.798
  495         17          2         15          4   4839.728
  496         13         12          1          2   4840.980
  497         21          0         21          2   4857.755
  498         15         10          5          2   4860.508
  499         12          5          8          6   4867.190
  500         13         13          0          0   4869.456
  501          4          4          1          8   4876.104
  502         16         10          7          0   4888.724
  503          5          3          2          8   4892.650
  504         21          1         20          0   4893.006
  505         10          8          3          6   4899.498
  506         14          2         13          6   4903.095
  507         18          2         17          4   4907.740
  508         22          1         22          0   4910.736
  509         18          5         14          2   4919.553
  510          9          9          0          6   4923.326
  511         19          0         19          4   4929.165
  512         15          0         15          6   4929.525
  513         11          7          4          6   4935.819
  514          6          2          5          8   4935.855
  515         16          5         12          4   4942.780
  516         17          7         10          2   4944.128
  517         15          7          8          4   4945.479
  518         16          9          8          2   4963.216
  519          7          0          7          8   4968.786
  520         19          4         15          0   4996.064
  521          5          4          1          8   4998.123
  522         18          7         12          0   4999.324
  523         13         10          3          4   5002.502
  524         13          3         10          6   5010.488
  525         12         11          2          4   5015.327
  526         17          9          8          0   5020.456
  527          6          3          4          8   5033.387
  528         12          6          7          6   5035.153
  529         14          9          6          4   5050.033
  530         19          3         16          2   5082.192
  531          7          1          6          8   5088.578
  532         17          3         14          4   5107.790
  533          8          1          8          8   5127.268
  534         17          8          9          2   5137.825
  535         14          3         12          6   5138.882
  536          5          5          0          8   5139.151
  537         16          6         11          4   5141.250
  538         13          4          9          6   5142.355
  539          6          4          3          8   5144.743
  540         18          6         13          2   5150.614
  541         20          4         17          0   5157.900
  542         15          8          7          4   5162.102
  543         10          9          2          6   5166.195
  544         11          8          3          6   5168.275
  545          7          2          5          8   5168.803
  546         14         12          3          2   5181.363
  547         15         12          3          0   5181.607
  548         15         11          4          2   5187.108
  549         20          3         18          2   5194.183
  550         14         13          2          0   5209.219
  551         15          1         14          6   5211.124
  552         16         11          6          0   5213.689
  553         18          8         11          0   5219.905
  554         18          3         16          4   5223.342
  555          7          3          4          8   5229.405
  556         12          7          6          6   5231.780
  557         13         13          0          2   5234.574
  558         16          1         16          6   5236.294
  559         19          5         14          0   5237.229
  560         13          5          8          6   5241.281
  561         16         10          7          2   5253.842
  562         21          1         20          2   5258.124
  563         21          2         19          0   5268.259
  564          8          2          7          8   5270.655
  565         22          1         22          2   5275.854
  566          6          5          2          8   5285.184
  567         19          1         18          4   5289.965
  568          9          0          9          8   5304.118
  569         17         10          7          0   5307.972
  570         20          1         20          4   5310.153
  571          7          4          3          8   5320.360
  572         22          2         21          0   5330.885
  573         13         11          2          4   5331.505
  574         16          7         10          4   5339.135
  575         17          4         13          4   5343.048
  576         14         10          5          4   5344.761
  577         14          4         11          6   5347.209
  578         23          0         23          0   5347.390
  579         19          4         15          2   5361.182
  580         18          7         12          2   5364.442
  581         13          6          7          6   5369.953
  582         12         12          1          4   5377.385
  583         17          9          8          2   5385.574
  584          8          3          6          8   5393.685
  585         15          9          6          4   5419.600
  586         19          6         13          0   5420.838
